id,playtime_forever
0,0.0
1,0.3275546846556132
2,0.0
3,0.0
4,22.77724529275674
5,0.0
6,0.0
7,0.0
8,0.0
9,0.7802490349682716
10,0.5162183924896877
11,0.0
12,1.905137587927649
13,0.23164992591854328
14,7.749889443733436
15,0.0
16,10.120490691531632
17,0.0
18,0.01500141440119851
19,0.0
20,0.0
21,3.2004593415827136
22,0.0
23,0.0
24,0.8640317164697819
25,0.2787213292445502
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,17.440410694247685
32,0.0
33,0.0
34,0.0
35,0.0
36,0.23026456188663502
37,34.24141827449695
38,0.12010128123654762
39,0.0
40,0.0
41,0.0
42,5.636827169525354
43,0.5671260223576622
44,0.03295738042828855
45,0.0
46,0.0
47,0.3667543483609904
48,4.910613655583851
49,19.787239640450085
50,14.809057782211699
51,0.0
52,0.0
53,0.0
54,0.045342918128643994
55,0.0
56,2.5658246165530496
57,0.0
58,1.0614712874788752
59,0.0
60,0.0
61,0.0
62,0.0
63,63.83577919012906
64,0.0
65,2.396042763597063
66,0.0
67,1.7017399755535894
68,8.240721990352721
69,0.0
70,1.6054088693361819
71,0.0
72,1.075619396311808
73,0.0
74,5.029576741894037
75,15.844518268580394
76,22.752170923683654
77,5.0106474884080425
78,0.0
79,0.0
80,0.0
81,0.0
82,1.0614712874788752
83,9.527787178643578
84,0.0
85,0.0
86,0.0
87,11.849796112746652
88,14.011912446696691
89,11.52623305487186
